	16638	CJ ESCADA MARINHEIRO(F) 829,6X742,5X10038,8 S/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X10073,3 S/BENGALA EXP
	16639	CJ ESCADA MARINHEIRO(F) 829,6X742,5X10538,8 S/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X8538,8 S/BENGALA EXP
	18592	CJ ESCADA MARINHEIRO(F) 829,7X907,9X6672,9 C/BENGALA EXP	UN	2	3	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X9038,8 S/BENGALA EXP
	18593	CJ ESCADA MARINHEIRO(F) 829,6X907,9X7164,3 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X9538,8 S/BENGALA EXP
	21482	CJ ESCADA MARINHEIRO(F) 829,6X906,4X9615,2 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X10038,8 S/BENGALA EXP
	22530	CJ ESCADA MARINHEIRO(F) 829,6X907,9X7884,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X742,5X10538,8 S/BENGALA EXP
	22531	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8350,1 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,7X907,9X6672,9 C/BENGALA EXP
	22532	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8813,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X7164,3 C/BENGALA EXP
	22533	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9279,5 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X906,4X9615,2 C/BENGALA EXP
	22534	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9744,8 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X7884,4 C/BENGALA EXP
	22535	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10212,7 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8350,1 C/BENGALA EXP
	22536	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10684,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8813,2 C/BENGALA EXP
	22537	CJ ESCADA MARINHEIRO(F) 829,6X907,9X11150,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X9279,5 C/BENGALA EXP
	22538	CJ ESCADA MARINHEIRO(F) 829,6X907,9X7659,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X9744,8 C/BENGALA EXP
	22539	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8125,1 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X10212,7 C/BENGALA EXP
	22540	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8588,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X10684,4 C/BENGALA EXP
	22541	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9054,5 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X11150,2 C/BENGALA EXP
	22542	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9519,8 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X7659,4 C/BENGALA EXP
	22543	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9987,7 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8125,1 C/BENGALA EXP
	22544	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10459,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8588,2 C/BENGALA EXP
	22545	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10925,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X9054,5 C/BENGALA EXP
	22546	CJ ESCADA MARINHEIRO(F) 829,6X907,9X7384,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X9519,8 C/BENGALA EXP
	22547	CJ ESCADA MARINHEIRO(F) 829,6X907,9X7850,1 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X9987,7 C/BENGALA EXP
	22548	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8313,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X10459,4 C/BENGALA EXP
	22549	CJ ESCADA MARINHEIRO(F) 829,6X907,9X8779,5 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X10925,2 C/BENGALA EXP
	22550	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9244,8 C/BENGALA EXP	UN	2	1	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X7384,4 C/BENGALA EXP
	22551	CJ ESCADA MARINHEIRO(F) 829,6X907,9X9712,7 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X7850,1 C/BENGALA EXP
	22552	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10184,4 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8313,2 C/BENGALA EXP
	22553	CJ ESCADA MARINHEIRO(F) 829,6X907,9X10650,2 C/BENGALA EXP	UN	2	0	NORMAL			CJ ESCADA MARINHEIRO(F) 829,6X907,9X8779,5 C/BENGALA EXP
